,Symbol,Output_diviation_value
0,63.0,3.516645502394051
1,157.0,2.807829218337342
2,338.0,2.947842636865172
3,410.0,3.713563496577705
4,528.0,1.580536375831358
5,550.0,0.446970294700642
6,570.0,-0.8494655894466108
7,584.0,-1.0553014933204445
8,670.0,-0.18616123814393948
9,687.0,-20.630358012565328
10,725.0,-0.5978278197430296
11,816.0,0.29522163461424356
12,837.0,-0.9951084986465393
13,877.0,-0.13783784040254865
14,901.0,-1.4168674532540635
15,903.0,-1.7850521403850852
16,913.0,-0.8014609741488208
17,988.0,-0.3782290677747078
18,2006.0,-1.5052014746316384
19,2017.0,-1.7826866509935764
20,2031.0,-1.3898402589940755
21,2049.0,0.037756505984255284
22,2058.0,-3.2795744603932917
23,2077.0,-0.09878717106512092
24,2079.0,-1.6880043983600341
25,2097.0,-0.894766773133286
26,2115.0,-0.9433380974205612
27,2121.0,0.9379726737744587
28,2129.0,-0.855466755936936
29,2156.0,-3.520656375289418
30,2176.0,0.6075409932383913
31,2185.0,-1.5007582291635835
32,2196.0,-2.8457761645112587
33,2202.0,0.128449699200619
34,2204.0,-1.0414932963648198
35,2214.0,-1.2743443724705612
36,2230.0,0.17258268842741842
37,2236.0,1.3651019949888017
38,2241.0,-0.31259235392744245
39,2255.0,1.0685867005706164
40,2273.0,-0.7145097862286587
41,2279.0,-1.2400382311317797
42,2403.0,-1.6308881228811973
43,2405.0,-0.36251622371788805
44,2414.0,-1.3622276735457515
45,2459.0,-0.37563212371246024
46,2491.0,1.006905440229101
47,2520.0,-1.6784797430294223
48,2527.0,-1.2022229778805418
49,2534.0,-0.8177644450306119
50,2594.0,0.10168006513367622
51,2685.0,-0.5011820713552151
52,2698.0,-0.576629348091994
53,2747.0,-1.9773929571199247
54,2829.0,-1.0141047844458289
55,2833.0,-0.8458156456400303
56,300007.0,-1.3574981089346103
57,300024.0,-1.2027821879054645
58,300053.0,-0.5696704392032874
59,300076.0,-2.2337502021444875
60,300077.0,-0.07257191394590023
61,300097.0,0.5756587811032512
62,300101.0,-1.8325521182623818
63,300102.0,-1.3168113573007343
64,300114.0,-1.2184952857800884
65,300115.0,-1.041022743196276
66,300118.0,-0.7312503043516738
67,300124.0,0.04400104093219959
68,300139.0,-1.2532951680329711
69,300153.0,-1.6395627684656926
70,300183.0,-1.1532735780115484
71,300184.0,-0.670693215696196
72,300193.0,-0.9069325202172278
73,300213.0,-1.3079529212671153
74,300223.0,-1.7538812171173088
75,300257.0,-1.8217602479250719
76,300259.0,-0.8139865249993861
77,300286.0,-1.7191450054664275
78,300293.0,-2.066835263858751
79,300298.0,-0.8608807785589576
80,300303.0,-1.0296312990776393
81,300323.0,-0.19843238083941195
82,300327.0,-0.6862964655613943
83,300335.0,-1.6947003975434942
84,300349.0,-0.4088704941426826
85,300352.0,-0.7473529827007903
86,300354.0,-2.7380927790404845
87,300356.0,-2.3897659668580555
88,300370.0,-2.1151130533533298
89,300410.0,0.7367599126662672
90,300458.0,-1.1957424825201413
91,300466.0,-0.4732804221400899
92,300474.0,-1.4002018733724064
93,300490.0,-1.2256934238038948
94,300493.0,-1.7370541344157058
95,300503.0,-1.146200610398326
96,300543.0,-1.3973023803673748
97,300603.0,-1.0048675714277362
98,300607.0,-1.0798058310694554
99,300613.0,-1.8887969626102459
100,300667.0,-2.5848548540605574
101,300672.0,-1.7043735156564956
102,300680.0,-3.03030848251245
103,300701.0,-1.67609286294815
104,300708.0,-3.672440548167458
105,300757.0,-1.3217061799705174
106,300772.0,-1.9728213894337046
