,Symbol,Financial_Fund_Proportion
0,63.0,0.0
1,157.0,0.0
2,338.0,0.0
3,410.0,0.0
4,528.0,0.0
5,550.0,0.0
6,570.0,0.0
7,584.0,0.0011274585749531177
8,670.0,0.0
9,687.0,0.0056774405867453985
10,725.0,0.0
11,816.0,0.0
12,837.0,0.0
13,877.0,0.0
14,901.0,3.730121624595224e-05
15,903.0,0.0
16,913.0,0.0
17,988.0,0.0
18,2006.0,0.0
19,2017.0,0.0
20,2031.0,0.0
21,2049.0,0.0
22,2058.0,0.0
23,2077.0,0.0
24,2079.0,0.0
25,2097.0,0.0009144523748304031
26,2115.0,0.0
27,2121.0,0.0
28,2129.0,0.0
29,2156.0,0.0
30,2176.0,0.0
31,2185.0,0.0
32,2196.0,0.0
33,2202.0,0.0
34,2204.0,0.0
35,2214.0,0.0
36,2230.0,0.0
37,2236.0,7.121845642947026e-05
38,2241.0,0.0
39,2255.0,0.0
40,2273.0,0.0
41,2279.0,1.8797355838766245e-05
42,2403.0,0.0
43,2405.0,5.156486607178417e-05
44,2414.0,0.0
45,2459.0,0.0
46,2491.0,0.0
47,2520.0,0.0
48,2527.0,0.0
49,2534.0,0.0
50,2594.0,0.0
51,2685.0,0.0
52,2698.0,0.0
53,2747.0,0.0
54,2829.0,0.0
55,2833.0,0.0
56,300007.0,0.0
57,300024.0,0.0
58,300053.0,0.0
59,300076.0,0.0
60,300077.0,0.0
61,300097.0,0.0
62,300101.0,0.0012855432769259146
63,300102.0,0.0
64,300114.0,0.0
65,300115.0,0.0
66,300118.0,0.0
67,300124.0,0.0
68,300139.0,0.0
69,300153.0,0.011078779255169917
70,300183.0,0.0
71,300184.0,0.0006847520789511358
72,300193.0,0.07484527978190192
73,300213.0,0.0
74,300223.0,0.0
75,300257.0,0.0
76,300259.0,0.015943368228252076
77,300286.0,0.0
78,300293.0,0.0
79,300298.0,0.005274887587305805
80,300303.0,0.0
81,300323.0,0.0
82,300327.0,0.0
83,300335.0,0.007401965177757414
84,300349.0,0.0
85,300352.0,0.0
86,300354.0,0.0
87,300356.0,0.0
88,300370.0,0.0
89,300410.0,0.0
90,300458.0,0.0
91,300466.0,0.0
92,300474.0,0.0
93,300490.0,0.001129744754425672
94,300493.0,0.0
95,300503.0,0.0
96,300543.0,0.0
97,300603.0,0.0
98,300607.0,0.0
99,300613.0,0.0022525293265346765
100,300667.0,0.0
101,300672.0,0.0
102,300680.0,0.0
103,300701.0,0.0
104,300708.0,0.0
105,300757.0,0.0
106,300772.0,0.0
107,300782.0,0.0
108,600031.0,0.0
109,600099.0,0.002960677021343391
110,600151.0,0.00010149598923186197
111,600171.0,0.0
112,600178.0,0.002271960647758317
113,600206.0,0.03484435893595925
114,600288.0,0.0
115,600320.0,0.0
116,600392.0,0.0
117,600438.0,0.0
118,600460.0,0.0
119,600475.0,0.0
120,600487.0,0.0
121,600537.0,0.0
122,600545.0,0.0
123,600560.0,0.0
124,600587.0,0.0
125,600588.0,0.0
126,600590.0,0.002631721080285444
127,600699.0,0.0
128,600761.0,0.003093314206911789
129,600808.0,0.0
130,600815.0,0.0
131,600841.0,0.0
132,600853.0,0.0
133,600862.0,0.0
134,600875.0,1.588655958534173e-05
135,600877.0,0.0
136,600879.0,0.000375535984531804
137,600893.0,0.0
138,601012.0,0.0
139,601558.0,0.0
140,601727.0,0.0
141,603005.0,0.0
142,603011.0,0.006041807159493795
143,603015.0,0.0
144,603023.0,0.0
145,603025.0,0.0004375581456539418
146,603100.0,0.0
147,603109.0,0.0
148,603158.0,0.0
149,603160.0,0.0
150,603178.0,0.0
151,603185.0,0.0
152,603203.0,0.0
153,603218.0,0.000295756540172324
154,603286.0,0.0
155,603298.0,0.0
156,603338.0,0.0
157,603501.0,0.0
158,603556.0,0.0
159,603586.0,0.0
160,603656.0,0.0
161,603766.0,0.0
162,603819.0,0.0
163,603893.0,0.0
164,603960.0,0.0030172390732900105
165,603966.0,0.0
166,603986.0,0.0
167,688002.0,0.0
168,688008.0,0.0
169,688090.0,0.0
170,688111.0,0.0
171,688123.0,0.0
172,688368.0,0.0
